          10(100 %)      1 0_168
           6( 60 %)      2 0_336
           3( 30 %)      3 0_504
           9( 90 %)      4 0_672
           3( 30 %)      5 0_840
           3( 30 %)      6 1_0
           5( 50 %)      7 2_0
           7( 70 %)      8 2_1
           7( 70 %)      9 2_2
           7( 70 %)     10 3_48
           5( 50 %)     11 3_72
           2( 20 %)     12 3_96
          10(100 %)     13 3_120
          10(100 %)     14 3_144
           6( 60 %)     15 4_0
           5( 50 %)     16 5_0
           1( 10 %)     17 5_1
           3( 30 %)     18 5_2
           0(  0 %)     19 6_16
           0(  0 %)     20 6_17
           0(  0 %)     21 6_18
           0(  0 %)     22 6_19
           0(  0 %)     23 6_20
           0(  0 %)     24 6_21
           0(  0 %)     25 6_22
           2( 20 %)     26 6_23
          10(100 %)     27 6_24
          10(100 %)     28 6_25
           7( 70 %)     29 6_26
           0(  0 %)     30 6_27
           2( 20 %)     31 6_28
           0(  0 %)     32 6_29
           1( 10 %)     33 6_30
           0(  0 %)     34 6_31
           0(  0 %)     35 6_32
           0(  0 %)     36 6_33
           0(  0 %)     37 6_34
           0(  0 %)     38 6_35
           0(  0 %)     39 6_36
           0(  0 %)     40 6_37
           0(  0 %)     41 6_38
           1( 10 %)     42 6_39
           0(  0 %)     43 6_40
           0(  0 %)     44 6_41
           0(  0 %)     45 6_42
           0(  0 %)     46 6_43
           0(  0 %)     47 6_44
           0(  0 %)     48 6_45
           1( 10 %)     49 6_46
           4( 40 %)     50 6_47
           2( 20 %)     51 6_48
           7( 70 %)     52 6_49
           4( 40 %)     53 6_50
           8( 80 %)     54 6_51
           9( 90 %)     55 6_52
           0(  0 %)     56 6_53
           1( 10 %)     57 6_54
           0(  0 %)     58 6_55
           1( 10 %)     59 6_56
           0(  0 %)     60 6_57
           0(  0 %)     61 6_58
           0(  0 %)     62 6_59
           0(  0 %)     63 6_60
           0(  0 %)     64 6_61
           0(  0 %)     65 6_62
           0(  0 %)     66 6_63
           0(  0 %)     67 7_0
           0(  0 %)     68 7_1
           1( 10 %)     69 8_0
           0(  0 %)     70 8_1
           0(  0 %)     71 9_0
           3( 30 %)     72 9_1
           1( 10 %)     73 10_0
